pname,purl
htslib,pkg:generic/htslib@1.21
rtlsdr,pkg:generic/rtlsdr@2.0.2
zserge-webview,pkg:generic/zserge-webview@0.12.0
gdbm,pkg:generic/gdbm@1.24
audioengine,pkg:generic/audioengine@1.1
jsonifier,pkg:generic/jsonifier@0.9.98
tinynpy,pkg:generic/tinynpy@1.0.0
nrf-ble-driver,pkg:generic/nrf-ble-driver@4.1.4
simonbrunel-qtpromise,pkg:generic/simonbrunel-qtpromise@0.7.0
lzav,pkg:generic/lzav@4.0
bext-di,pkg:generic/bext-di@1.3.0
rbdl-orb,pkg:generic/rbdl-orb@3.2.0
boost-fusion,pkg:generic/boost-fusion@1.87.0
vulkan-hpp,pkg:generic/vulkan-hpp
yara,pkg:generic/yara@4.5.2
libosmium,pkg:generic/libosmium
gppanel,pkg:generic/gppanel
highway,pkg:generic/highway@1.2.0
openblas,pkg:generic/openblas@0.3.29
libvhdi,pkg:generic/libvhdi@20231127
libaribcaption,pkg:generic/libaribcaption@1.1.1
triton,pkg:generic/triton
quaternions,pkg:generic/quaternions@1.0.0
mman,pkg:generic/mman
qpid-proton,pkg:generic/qpid-proton@0.38.0
tinygltf,pkg:generic/tinygltf@2.9.4
meschach,pkg:generic/meschach
libodb-boost,pkg:generic/libodb-boost@2.4.0
kuku,pkg:generic/kuku@2.1.0
clipboardxx,pkg:generic/clipboardxx
opencsg,pkg:generic/opencsg@1.7.0
wg21-sg14,pkg:generic/wg21-sg14
turbobase64,pkg:generic/turbobase64@2023.8
vxl,pkg:generic/vxl@3.5.0
qhttpengine,pkg:generic/qhttpengine@1.0.2
atlmfc,pkg:generic/atlmfc@0
fbthrift,pkg:generic/fbthrift
soil,pkg:generic/soil
wxcharts,pkg:generic/wxcharts
gz-utils2,pkg:generic/gz-utils2@2.0.0
vulkan-loader,pkg:generic/vulkan-loader@1.4.304.1
azure-security-keyvault-secrets-cpp,pkg:generic/azure-security-keyvault-secrets-cpp
arrayfire,pkg:generic/arrayfire
brpc,pkg:generic/brpc@1.11.0
glbinding,pkg:generic/glbinding@3.1.0
spirv-headers,pkg:generic/spirv-headers@1.4.304.1
wolfmqtt,pkg:generic/wolfmqtt@1.19.0
qtconnectivity,pkg:generic/qtconnectivity@6.8.2
libsercomm,pkg:generic/libsercomm@1.3.2
autodock-vina,pkg:generic/autodock-vina
sbp,pkg:generic/sbp
kf5dbusaddons,pkg:generic/kf5dbusaddons@5.98.0
clfft,pkg:generic/clfft@2.12.2
gettext,pkg:generic/gettext@0.22.5
boost-system,pkg:generic/boost-system@1.87.0
ms-gdkx,pkg:generic/ms-gdkx@1.0.0
sciter-js,pkg:generic/sciter-js@5.0.3.14
libice,pkg:generic/libice@1.1.1
shogun,pkg:generic/shogun
unordered-dense,pkg:generic/unordered-dense@4.5.0
uthenticode,pkg:generic/uthenticode@2.0.1
g3log,pkg:generic/g3log@2.4
d3d12-memory-allocator,pkg:generic/d3d12-memory-allocator@2.0.1
suitesparse-graphblas,pkg:generic/suitesparse-graphblas
nss,pkg:generic/nss@3.99
libxt,pkg:generic/libxt@1.3.0
gtk,pkg:generic/gtk@4.16.3
tensorflow-common,pkg:generic/tensorflow-common
libfort,pkg:generic/libfort
ms-angle,pkg:generic/ms-angle
qt5-webchannel,pkg:generic/qt5-webchannel@5.15.16
libsodium,pkg:generic/libsodium@1.0.20
libudis86,pkg:generic/libudis86
collada-dom,pkg:generic/collada-dom@2.5.0
asio-grpc,pkg:generic/asio-grpc@3.4.2
libaaplus,pkg:generic/libaaplus@2.36
xtensor,pkg:generic/xtensor@0.25.0
gz-utils,pkg:generic/gz-utils@3.1.0
boost-exception,pkg:generic/boost-exception@1.87.0
lapack-reference,pkg:generic/lapack-reference@3.11.0
qtsensors,pkg:generic/qtsensors@6.8.2
acl,pkg:generic/acl
lzfse,pkg:generic/lzfse@1.0
tmxlite,pkg:generic/tmxlite@1.4.4
spscqueue,pkg:generic/spscqueue@1.1
dxsdk-d3dx,pkg:generic/dxsdk-d3dx@9.29.952.8
boost-integer,pkg:generic/boost-integer@1.87.0
boringssl,pkg:generic/boringssl
aws-c-compression,pkg:generic/aws-c-compression@0.3.0
rest-rpc,pkg:generic/rest-rpc@0.12
libxxf86vm,pkg:generic/libxxf86vm@1.1.5
llgi,pkg:generic/llgi
sentry-native,pkg:generic/sentry-native@0.8.1
rxspencer,pkg:generic/rxspencer@3.9.0
edlib,pkg:generic/edlib@1.2.7
aricpp,pkg:generic/aricpp
gz-sensors7,pkg:generic/gz-sensors7@7.3.0
libspnav,pkg:generic/libspnav@0.2.3
oatpp-curl,pkg:generic/oatpp-curl@1.3.0
fastcdr,pkg:generic/fastcdr
readline-unix,pkg:generic/readline-unix@8.2
stb,pkg:generic/stb
libtommath,pkg:generic/libtommath@1.3.0
boost-metaparse,pkg:generic/boost-metaparse@1.87.0
libshout,pkg:generic/libshout@2.4.6
qt5-websockets,pkg:generic/qt5-websockets@5.15.16
range-v3,pkg:generic/range-v3@0.12.0
sprout,pkg:generic/sprout
flatbush,pkg:generic/flatbush@1.2.1
openctm,pkg:generic/openctm@1.0.3
sdl2-net,pkg:generic/sdl2-net@2.2.0
cyclonedds-cxx,pkg:generic/cyclonedds-cxx@0.10.5
lemon,pkg:generic/lemon@0
ngspice,pkg:generic/ngspice@41
suitesparse-config,pkg:generic/suitesparse-config
wincrypt,pkg:generic/wincrypt@0.0
boost-container-hash,pkg:generic/boost-container-hash@1.87.0
suitesparse-btf,pkg:generic/suitesparse-btf
cserialport,pkg:generic/cserialport@4.3.1
c4core,pkg:generic/c4core@0.2.5
rpclib,pkg:generic/rpclib
simd,pkg:generic/simd@6.1.147
sqlite-orm,pkg:generic/sqlite-orm@1.9.1
vc,pkg:generic/vc@1.4.4
bustache,pkg:generic/bustache@1.1.0
boost-nowide,pkg:generic/boost-nowide@1.87.0
args,pkg:generic/args@6.4.6
libsbsms,pkg:generic/libsbsms
tinyexpr,pkg:generic/tinyexpr
nanojsonc,pkg:generic/nanojsonc@1.1.0
opentelemetry-cpp-contrib-version,pkg:generic/opentelemetry-cpp-contrib-version
klein,pkg:generic/klein
cppmicroservices,pkg:generic/cppmicroservices@3.8.6
wayland,pkg:generic/wayland@1.21.0
boost-msm,pkg:generic/boost-msm@1.87.0
libsigcpp,pkg:generic/libsigcpp@3.6.0
gaussianlib,pkg:generic/gaussianlib
tcp-pubsub,pkg:generic/tcp-pubsub@1.0.3
co,pkg:generic/co
xcb-image,pkg:generic/xcb-image@0.4.1
valijson,pkg:generic/valijson@1.0.4
udt,pkg:generic/udt@4.11
cppslippi,pkg:generic/cppslippi@1.4.3.16
libdjinterop,pkg:generic/libdjinterop@0.24.3
laszip,pkg:generic/laszip@3.4.4
modern-cpp-kafka,pkg:generic/modern-cpp-kafka
piex,pkg:generic/piex
raygui,pkg:generic/raygui@4.0
fastor,pkg:generic/fastor@0.6.4
graphicsmagick,pkg:generic/graphicsmagick@1.3.41
v8,pkg:generic/v8@9.1.269.39
tinyxml2,pkg:generic/tinyxml2
tidy-html5,pkg:generic/tidy-html5@5.8.0
vcpkg-tool-mozbuild,pkg:generic/vcpkg-tool-mozbuild@4.0.2
grppi,pkg:generic/grppi@0.4.0
suitesparse-colamd,pkg:generic/suitesparse-colamd
nsync,pkg:generic/nsync@1.29.2
parallelstl,pkg:generic/parallelstl@20200330
vcpkg-tool-lessmsi,pkg:generic/vcpkg-tool-lessmsi@1.10.0
rapidxml,pkg:generic/rapidxml@1.13
concurrentqueue,pkg:generic/concurrentqueue@1.0.4
libleidenalg,pkg:generic/libleidenalg@0.11.1
libredwg,pkg:generic/libredwg@0.13.3
zopfli,pkg:generic/zopfli@1.0.3
maddy,pkg:generic/maddy@1.3.0
hunspell,pkg:generic/hunspell@1.7.2
audit,pkg:generic/audit@4.0.2
stronk,pkg:generic/stronk
blake3,pkg:generic/blake3@1.6.0
libguarded,pkg:generic/libguarded@1.4.1
cmakerc,pkg:generic/cmakerc
sdl2-image,pkg:generic/sdl2-image@2.8.8
boost-hana,pkg:generic/boost-hana@1.87.0
slikenet,pkg:generic/slikenet
wavelib,pkg:generic/wavelib
libeventheader-tracepoint,pkg:generic/libeventheader-tracepoint@1.4.0
platform-folders,pkg:generic/platform-folders@4.2.0
pbc,pkg:generic/pbc@0.5.14
gpgmm,pkg:generic/gpgmm@0.1.2
tsl-ordered-map,pkg:generic/tsl-ordered-map@1.1.0
sdflib,pkg:generic/sdflib
aklomp-base64,pkg:generic/aklomp-base64@0.5.2
spdk,pkg:generic/spdk
pngwriter,pkg:generic/pngwriter@0.7.0
zyre,pkg:generic/zyre
double-conversion,pkg:generic/double-conversion@3.3.0
uchardet,pkg:generic/uchardet@0.0.8
qlementine-icons,pkg:generic/qlementine-icons@1.7.1
fcl,pkg:generic/fcl@0.7.0
boost-proto,pkg:generic/boost-proto@1.87.0
